ID,Age,Gender,InterpenetrationFeedback,Part,Block,TrialInBlock,Trial,FullyShaded,NrOfAdjustments,InterpenetrationTime,TrialTime,FirstContactTime,MaxInterpenetration,AverageInterpenetration,AverageOffsetFromSurface,ReleaseReactionTime,Completed,Attempts,Skipped,RespTime,Precision
11,24,Female,Both,Part 1,1,6.5,18.5,1.5,0,3.643335,7.1945526,2.1899354,0.0127160915,0.0091249865,0.0030627376,0.62789613,1,1,0,7.1693178,0.0015684929
13,24,Female,Both,Part 1,3,6.3,42.3,1.5,0,3.805554,7.5832277,2.3162598,0.017454211,0.0136511939,0.0058663711,0.78972168,1,1,0,7.5589906000000004,0.0016655398
21,24,Female,Both,Part 1,3,6.4,42.4,1.5,0,3.7022217,10.3445797,4.8930238,0.0165167788,0.0135183416,0.0077732537,0.68764646,1,1,0,10.3200137,0.0019957427
6,25,Female,Both,Part 1,2,6.5,30.5,1.5,0,3.5299989,6.725879,1.8291138,0.0085362961,0.0056392049,0.0069580118,0.51567993,1,1,0,6.7019104,0.0010282327
23,26,Female,Both,Part 1,1,6.5,18.5,1.5,0,3.5655548,7.6431059999999995,2.628888,0.010960343,0.0081909852,0.0052450136,0.55014953,1,1,0,7.6187195,0.0010501636
12,27,Female,Both,Part 1,0,6.1,6.1,1.5,0,3.5911133,6.9635072000000005,2.0076386,0.0110737239,0.0080344621,0.0046740708,0.57453003,1,1,0,6.9380644,0.0011481504
3,23,Male,Both,Part 1,1,6.5,18.5,1.5,0,3.4688873,6.6661193999999995,1.8619874,0.0059956161,0.0043921546,0.0125162606,0.45439453,1,1,0,6.6398741999999995,5.462263999999999e-4
19,23,Male,Both,Part 1,1,6.5,18.5,1.5,0.1,3.4922332000000003,8.450632,3.17352,0.0091948885,0.0057824816,0.008951463,0.47646486,1,1,0,8.4246121,0.0012093432
1,24,Male,Both,Part 1,3,6.5,42.5,1.5,0,3.8166625,7.3078554,2.0785645,0.015186208,0.0106186221,0.0075522274,0.80308224,1,1,0,7.2823425,0.0017613287
8,24,Male,Both,Part 1,0,6.5,6.5,1.5,0.2,3.501114,9.7445131,4.3798368,0.0111148596,0.0092998225,0.0076711875,0.48865052,1,1,0,9.7204069,0.0010109312
14,24,Male,Both,Part 1,2,6.5,30.5,1.5,0.4,3.1333496,8.5028561,3.2057495,0.0103343472,0.005972362,0.0185095152,0.51530762,1,1,0,8.4772703,0.0014490756
15,24,Male,Both,Part 1,1,6.5,18.5,1.5,0,3.648883,7.1778808000000005,2.1645233,0.0047343507,0.0037174438000000002,0.0116084174,0.63358764,1,1,0,7.1540253,4.356814e-4
24,24,Male,Both,Part 1,0,6.5,6.5,1.5,0,3.805545,7.0166841,1.8627594,0.0080961944,0.0057540876,0.0065407759,0.79008786,1,1,0,6.9878968,8.345040999999999e-4
2,25,Male,Both,Part 1,2,6.5,30.5,1.5,0,3.6333314,7.4956787,2.5055176,0.014206896,0.0110172777,0.0043705474,0.61772461,1,1,0,7.4695007,0.0017507225
4,25,Male,Both,Part 1,0,6.3,6.3,1.5,0,3.7933352,7.7698059,2.2289305,0.023824846,0.0175150944,0.0090373494,0.77802125,1,1,0,7.7459228,0.0029174542
22,25,Male,Both,Part 1,2,6.4,30.4,1.5,0,3.7755615000000002,10.2464539,4.8716003,0.0100545765,0.007972136,0.006934333799999999,0.76121826,1,1,0,10.2223513,8.007579e-4
5,28,Male,Both,Part 1,3,6.5,42.5,1.5,0,3.7700013,8.187426799999999,2.7768738,0.0108798947,0.0081314692,0.0036978703,0.75393068,1,1,0,8.1635559,0.0011077561
