ID,Age,Gender,InterpenetrationFeedback,Part,Block,TrialInBlock,Trial,FullyShaded,NrOfAdjustments,InterpenetrationTime,TrialTime,FirstContactTime,MaxInterpenetration,AverageInterpenetration,AverageOffsetFromSurface,ReleaseReactionTime,Completed,Attempts,Skipped,RespTime,Precision,Sensation,Pain,ActualValue
1,24,Male,Both,Part 1,3,6.5,42.5,1.5,0,3.8166625,7.3078554,2.0785645,0.015186208,0.010618622,0.007552227,0.80308224,1,1,0,7.2823425,0.001761329,2.5,5.8,4.5
1,24,Male,Electrotactile,Part 1,2,6.5,30.5,1.5,0.1,3.5522339,7.3990418,2.2835998,0.018500095,0.012266998,0.008431451,0.53781123,1,1,0,7.3735168,0.003021577,2.5,5.8,4.5
1,24,Male,NoFeedback,Part 1,0,6.5,6.5,1.5,0,3.7800019,10.100107,4.8786434,0.009729102,0.007444628,0.008341472,0.76572273,1,1,0,10.0707758,0.001038187,2.5,5.8,4.5
1,24,Male,Visual,Part 1,1,6.5,18.5,1.5,0,3.8588868,7.6556275,2.4395814,0.01340986,0.009313771,0.005068161,0.84326172,1,1,0,7.6258545,0.001717206,2.5,5.8,4.5
1,24,Male,Both,Part 2,7,6.3,90.3,1.5,0.5,3.4810913,7.5359009,2.3707275,0.012580847,0.008932722,0.009318793,0.51298828,1,1,0,7.5108887,0.001703725,2.9,6.3,4.9
1,24,Male,Electrotactile,Part 2,6,6.4,78.4,1.5,0,3.6011351,7.3135008,2.2642334,0.017944853,0.013364129,0.006219348,0.58735351,1,1,0,7.2886109,0.002318017,2.9,6.3,4.9
1,24,Male,NoFeedback,Part 2,4,6.5,54.5,1.5,0.2,3.44888918,7.1850892,1.9883972,0.013679194,0.010380727,0.007400052,0.44205941,1,1,0,7.160028,0.001800152,2.9,6.3,4.9
1,24,Male,Visual,Part 2,5,6.4,66.4,1.5,0.1,3.6966432,7.2813599,2.1340698,0.01684677,0.012939206,0.005293453,0.7292725,1,1,0,7.2561647,0.001950092,2.9,6.3,4.9
2,25,Male,Both,Part 1,2,6.5,30.5,1.5,0,3.6333314,7.4956787,2.5055176,0.014206896,0.011017278,0.004370547,0.61772461,1,1,0,7.4695007,0.001750723,2.8,5,4.1
2,25,Male,Electrotactile,Part 1,3,6.5,42.5,1.5,0,3.6122314,7.7300781,2.6116272,0.016838301,0.012643013,0.005222191,0.5965332,1,1,0,7.7044434,0.002321785,2.8,5,4.1
