ID,Block,TrialInBlock,Trial,InterpenetrationFeedback,FullyShaded,NrOfAdjustments,InterpenetrationTime,TrialTime,FirstContactTime,MaxInterpenetration,AverageInterpenetration,AverageOffsetFromSurface,ReleaseReactionTime,Completed,Attempts,Skipped,RespTime,Age,Gender,Precision
13,0,0,0,NoFeedback,FALSE,0,18.21109,34.85806,4.671326,0.01973036,0.01478308,0.006225589,15.19635,TRUE,1,FALSE,34.83469,24,Female,0.002239127
13,0,1,1,NoFeedback,TRUE,1,1.744446,13.17191,4.264435,0.02249554,0.01691923,0.007060586,-1.27655,TRUE,1,FALSE,13.14804,24,Female,0.003112703
13,0,2,2,NoFeedback,TRUE,0,5.277771,9.206879,2.626068,0.0236983,0.01766617,0.007705294,2.261963,TRUE,1,FALSE,9.18335,24,Female,0.002138305
13,0,3,3,NoFeedback,TRUE,2,0.8666382,24.93408,18.05215,0.007076681,0.00641207,0.02035569,-0.549469,TRUE,1,FALSE,24.90973,24,Female,0.000732083
13,0,4,4,NoFeedback,TRUE,0,4.511108,20.20078,14.30801,0.0030668,0.0030668,0.007027878,1.493622,TRUE,1,FALSE,20.17661,24,Female,0
13,0,5,5,NoFeedback,TRUE,1,3.900024,23.29053,16.35028,0.01786621,0.01087286,0.01265805,2.581879,TRUE,1,FALSE,23.26566,24,Female,0.003594085
13,0,6,6,NoFeedback,FALSE,0,3.911102,10.30734,5.027832,0.00875672,0.004929053,0.009887338,0.897583,TRUE,1,FALSE,10.28119,24,Female,0.000930088
13,0,7,7,NoFeedback,FALSE,0,3.955566,8.339722,3.032135,0.009886394,0.005843699,0.006702081,0.9351501,TRUE,1,FALSE,8.313507,24,Female,0.001221745
13,0,8,8,NoFeedback,TRUE,0,3.755554,6.908203,1.813477,0.01851246,0.01421929,0.005371134,0.7383728,TRUE,1,FALSE,6.883575,24,Female,0.00262454
13,0,9,9,NoFeedback,FALSE,0,3.588867,8.129059,3.194733,0.01195064,0.01033767,0.003893186,0.5753479,TRUE,1,FALSE,8.105164,24,Female,0.000542939
13,0,10,10,NoFeedback,FALSE,0,3.655548,7.774811,2.72049,0.00898644,0.007440222,0.004278849,0.6457214,TRUE,1,FALSE,7.749939,24,Female,0.000754457
13,0,11,11,NoFeedback,FALSE,0,3.700012,13.09354,8.001801,0.009156276,0.007027019,0.004353274,0.6842651,TRUE,1,FALSE,13.06934,24,Female,0.000982637
13,1,0,12,Visual,FALSE,0,8.766663,13.15018,3.156769,0.01915431,0.01014348,0.006215971,5.748688,TRUE,1,FALSE,13.12708,24,Female,0.004242402
13,1,1,13,Visual,FALSE,0,3.588867,6.841766,1.895996,0.01781765,0.01397379,0.004994769,0.5760498,TRUE,1,FALSE,6.817993,24,Female,0.000561957
13,1,2,14,Visual,TRUE,0,3.777802,8.08432,2.887909,0.01636326,0.01375059,0.005864818,0.7575989,TRUE,1,FALSE,8.059998,24,Female,0.001431463
13,1,3,15,Visual,FALSE,0,3.711121,8.174438,3.103119,0.01419033,0.009353724,0.005152425,0.694519,TRUE,1,FALSE,8.15036,24,Female,0.002063316
13,1,4,16,Visual,FALSE,0,3.733337,8.429779,3.239288,0.01378917,0.01057716,0.004160377,0.7206421,TRUE,1,FALSE,8.404846,24,Female,0.001375689
13,1,5,17,Visual,TRUE,0,3.722168,8.373749,3.287842,0.01680262,0.01128176,0.004695753,0.7017212,TRUE,1,FALSE,8.348755,24,Female,0.002144559
13,1,6,18,Visual,TRUE,0,3.733337,8.208008,3.136292,0.01942708,0.01478158,0.006615057,0.7166138,TRUE,1,FALSE,8.182617,24,Female,0.001889611
13,1,7,19,Visual,FALSE,0,3.633301,7.462769,2.440063,0.01934151,0.0157196,0.007485288,0.6201172,TRUE,1,FALSE,7.438354,24,Female,0.001759526
13,1,8,20,Visual,TRUE,0,3.611084,7.296692,2.332031,0.01786537,0.01601408,0.007489843,0.5895996,TRUE,1,FALSE,7.27179,24,Female,0.001100503
13,1,9,21,Visual,TRUE,0,3.877808,7.37439,2.135742,0.02129998,0.01763868,0.009055544,0.8599854,TRUE,1,FALSE,7.349609,24,Female,0.001460026
13,1,10,22,Visual,FALSE,0,3.822205,7.507813,2.305603,0.01912957,0.01579667,0.007222381,0.8077393,TRUE,1,FALSE,7.483459,24,Female,0.001804558
13,1,11,23,Visual,TRUE,0,3.855591,8.307312,3.031799,0.0241,0.02054052,0.01132198,0.8453369,TRUE,1,FALSE,8.28363,24,Female,0.00193198
13,2,0,24,Electrotactile,FALSE,0,4.488892,10.46191,4.617126,0.02966857,0.01543862,0.01194714,1.476196,TRUE,1,FALSE,10.43872,24,Female,0.005946473
13,2,1,25,Electrotactile,TRUE,0,3.655579,7.141418,2.110413,0.01041543,0.009036527,0.001784272,0.6356201,TRUE,1,FALSE,7.117432,24,Female,0.000639565
13,2,2,26,Electrotactile,TRUE,0,3.611145,7.84137,2.781128,0.01018967,0.007120514,0.002297886,0.5941772,TRUE,1,FALSE,7.816895,24,Female,0.000821116
13,2,3,27,Electrotactile,FALSE,0,3.611084,7.829529,2.784424,0.01013991,0.007612379,0.002841109,0.5979614,TRUE,1,FALSE,7.80481,24,Female,0.000912575
13,2,4,28,Electrotactile,FALSE,0,4.133301,8.318787,2.765442,0.01583662,0.01055629,0.003279134,1.112366,TRUE,1,FALSE,8.294128,24,Female,0.001702108
13,2,5,29,Electrotactile,TRUE,0,3.744446,8.806458,3.680725,0.02077425,0.0165273,0.006750949,0.7278442,TRUE,1,FALSE,8.782898,24,Female,0.002690521
13,2,6,30,Electrotactile,FALSE,0,3.733337,7.363464,2.117554,0.01166054,0.009199176,0.002202229,0.7197876,TRUE,1,FALSE,7.339722,24,Female,0.00078004
13,2,7,31,Electrotactile,TRUE,0,3.766663,8.1521,2.954468,0.01234336,0.01029171,0.005658427,0.7567139,TRUE,1,FALSE,8.128296,24,Female,0.000728875
13,2,8,32,Electrotactile,FALSE,0,3.611084,6.874634,1.817993,0.01250816,0.008343815,0.002361243,0.5935059,TRUE,1,FALSE,6.849792,24,Female,0.001814884
13,2,9,33,Electrotactile,TRUE,0,3.633301,7.674377,2.672241,0.01686774,0.01276319,0.005885102,0.6192627,TRUE,1,FALSE,7.650391,24,Female,0.001206117
13,2,10,34,Electrotactile,TRUE,0,3.722229,8.051331,2.875427,0.01397207,0.01163327,0.002797846,0.7111816,TRUE,1,FALSE,8.027954,24,Female,0.001353731
13,2,11,35,Electrotactile,FALSE,0,3.755554,7.963684,2.668396,0.01297271,0.01037306,0.002031193,0.7374268,TRUE,1,FALSE,7.93811,24,Female,0.001154484
13,3,0,36,Both,TRUE,0,4.111084,8.296265,2.82074,0.03285036,0.02332983,0.01404205,1.101074,TRUE,1,FALSE,8.273071,24,Female,0.004050385
13,3,1,37,Both,TRUE,0,3.722229,7.818848,2.66864,0.0195116,0.01742387,0.008266745,0.704895,TRUE,1,FALSE,7.794678,24,Female,0.001398417
13,3,2,38,Both,TRUE,0,3.733276,7.784973,2.572388,0.021008,0.01802719,0.008546593,0.7194824,TRUE,1,FALSE,7.76001,24,Female,0.000846495
13,3,3,39,Both,FALSE,0,3.744446,7.8302,2.69812,0.01075604,0.008960586,0.003725732,0.7358398,TRUE,1,FALSE,7.806335,24,Female,0.000982987
13,3,4,40,Both,FALSE,0,3.900024,8.107178,2.690491,0.02287876,0.02083885,0.01114623,0.8820801,TRUE,1,FALSE,8.082581,24,Female,0.001632908
13,3,5,41,Both,FALSE,0,3.955566,7.630127,2.194153,0.01234813,0.009415356,0.003381076,0.940918,TRUE,1,FALSE,7.606873,24,Female,0.000995685
13,3,6,42,Both,FALSE,0,3.777771,7.897095,2.675354,0.01255044,0.01046347,0.003562089,0.7665405,TRUE,1,FALSE,7.872803,24,Female,0.001076908
13,3,7,43,Both,TRUE,0,4,7.073792,1.612793,0.02380236,0.01611385,0.006460826,0.9812622,TRUE,1,FALSE,7.049805,24,Female,0.003369073
13,3,8,44,Both,FALSE,0,3.644409,7.196777,2.049194,0.02079716,0.01419041,0.006192332,0.6286621,TRUE,1,FALSE,7.172424,24,Female,0.002869673
13,3,9,45,Both,FALSE,0,3.777771,7.463623,2.252319,0.0130271,0.009995359,0.003550885,0.765686,TRUE,1,FALSE,7.438232,24,Female,0.001108195
13,3,10,46,Both,TRUE,0,3.677795,6.652344,1.533203,0.01645481,0.01203524,0.001986831,0.6575928,TRUE,1,FALSE,6.628601,24,Female,0.001270758
13,3,11,47,Both,TRUE,0,3.866699,8.20752,2.914063,0.01216375,0.008008344,0.005570104,0.8500977,TRUE,1,FALSE,8.183899,24,Female,0.002087286
13,4,0,48,NoFeedback,FALSE,0,3.911072,8.872681,3.656799,0.02274702,0.016496,0.006320427,0.8934937,TRUE,1,FALSE,8.850281,24,Female,0.002067411
13,4,1,49,NoFeedback,FALSE,1,3.64447,6.474976,1.405518,0.01169408,0.00841069,0.001914089,0.6627808,TRUE,1,FALSE,6.450806,24,Female,0.001049133
13,4,2,50,NoFeedback,TRUE,0,3.577759,6.519348,1.55249,0.01584945,0.01322762,0.003296997,0.5656128,TRUE,1,FALSE,6.496033,24,Female,0.001837044
13,4,3,51,NoFeedback,FALSE,0,3.600037,6.686096,1.689453,0.009681588,0.008949121,0.002142692,0.5803833,TRUE,1,FALSE,6.662781,24,Female,0.000426344
13,4,4,52,NoFeedback,FALSE,0,3.544495,6.70813,1.780945,0.01026534,0.007613834,0.002462744,0.5274658,TRUE,1,FALSE,6.683411,24,Female,0.001697373
13,4,5,53,NoFeedback,TRUE,0,3.655579,6.807861,1.761475,0.01072336,0.007709905,0.002731697,0.6422119,TRUE,1,FALSE,6.784058,24,Female,0.000916216
13,4,6,54,NoFeedback,FALSE,0,3.633362,6.697144,1.675781,0.01405275,0.01275513,0.004033628,0.6222534,TRUE,1,FALSE,6.672607,24,Female,0.000672119
13,4,7,55,NoFeedback,TRUE,0,3.666626,7.374451,2.378296,0.01974569,0.01646162,0.007625985,0.6481323,TRUE,1,FALSE,7.350342,24,Female,0.001080176
13,4,8,56,NoFeedback,TRUE,0,3.633362,6.71936,1.715454,0.02623561,0.02107863,0.01182451,0.6178589,TRUE,1,FALSE,6.695557,24,Female,0.002974493
13,4,9,57,NoFeedback,FALSE,0,3.633301,6.574402,1.60791,0.0279638,0.02502361,0.0151852,0.6207886,TRUE,1,FALSE,6.550964,24,Female,0.002389043
13,4,10,58,NoFeedback,TRUE,0,3.655579,6.574951,1.565796,0.02566904,0.01430721,0.007936708,0.645874,TRUE,1,FALSE,6.551147,24,Female,0.00391674
13,4,11,59,NoFeedback,TRUE,0,3.577759,6.308411,1.379822,0.01024289,0.008073784,0.0018674,0.5610962,TRUE,1,FALSE,6.284729,24,Female,0.000901885
13,5,0,60,Visual,TRUE,0,4.255554,9.352356,3.776367,0.01555321,0.01173537,0.003280231,1.235168,TRUE,1,FALSE,9.328247,24,Female,0.00132511
13,5,1,61,Visual,FALSE,0,3.966675,8.195496,2.836243,0.0149117,0.01079846,0.002891676,0.949646,TRUE,1,FALSE,8.172974,24,Female,0.001623126
13,5,2,62,Visual,TRUE,0,3.711121,7.318787,2.139893,0.0195041,0.01306253,0.004872388,0.6976929,TRUE,1,FALSE,7.294128,24,Female,0.003233039
13,5,3,63,Visual,FALSE,0,3.722229,6.974487,1.887695,0.02202843,0.01797769,0.008813508,0.7121582,TRUE,1,FALSE,6.950439,24,Female,0.002246083
13,5,4,64,Visual,FALSE,0,3.677795,7.063721,2.035461,0.01672264,0.01214281,0.003935454,0.6598511,TRUE,1,FALSE,7.039734,24,Female,0.002543309
13,5,5,65,Visual,FALSE,0,3.64447,6.952393,1.960571,0.01816396,0.01486284,0.005614143,0.630127,TRUE,1,FALSE,6.928223,24,Female,0.001434941
13,5,6,66,Visual,FALSE,0,3.755554,7.074646,1.930237,0.01646054,0.01435267,0.005462954,0.7442627,TRUE,1,FALSE,7.051392,24,Female,0.001324851
13,5,7,67,Visual,TRUE,0,3.677795,7.18573,2.143677,0.01848331,0.01525235,0.00654598,0.6578979,TRUE,1,FALSE,7.162048,24,Female,0.00198821
13,5,8,68,Visual,TRUE,0,3.711121,6.774658,1.715393,0.01489286,0.01125406,0.004565272,0.6942139,TRUE,1,FALSE,6.750793,24,Female,0.003278403
13,5,9,69,Visual,TRUE,0,3.655579,6.875244,1.840698,0.0150477,0.01040427,0.002575058,0.6421509,TRUE,1,FALSE,6.851501,24,Female,0.001518545
13,5,10,70,Visual,FALSE,0,3.611084,6.751953,1.776489,0.01366626,0.01147229,0.002758496,0.6003418,TRUE,1,FALSE,6.728333,24,Female,0.000782199
13,5,11,71,Visual,TRUE,0,3.600037,6.886169,1.946167,0.02075756,0.01730626,0.006189734,0.581604,TRUE,1,FALSE,6.861816,24,Female,0.002641668
13,6,0,72,Electrotactile,TRUE,0,4.711182,9.062622,3.042725,0.01764358,0.01475775,0.005330736,1.701172,TRUE,1,FALSE,9.038818,24,Female,0.002217173
13,6,1,73,Electrotactile,FALSE,0,3.822266,7.852051,2.52417,0.01912584,0.01447616,0.005989521,0.8052979,TRUE,1,FALSE,7.828247,24,Female,0.002129629
13,6,2,74,Electrotactile,FALSE,0,3.888916,9.173828,3.939087,0.01365133,0.01041806,0.004282311,0.8758545,TRUE,1,FALSE,9.150757,24,Female,0.002073523
13,6,3,75,Electrotactile,TRUE,0,3.599976,7.207764,2.254517,0.01057371,0.009195421,0.003144134,0.5900879,TRUE,1,FALSE,7.182983,24,Female,0.000526959
13,6,4,76,Electrotactile,FALSE,0,3.622192,7.50769,2.5354,0.01180156,0.007821732,0.003734463,0.6047363,TRUE,1,FALSE,7.484741,24,Female,0.001120854
13,6,5,77,Electrotactile,TRUE,0,3.77771,7.686035,2.527954,0.02736875,0.01454056,0.006551088,0.7634277,TRUE,1,FALSE,7.661499,24,Female,0.004567187
13,6,6,78,Electrotactile,FALSE,0,3.622192,6.984863,1.975342,0.01212964,0.01027967,0.002360193,0.611084,TRUE,1,FALSE,6.961182,24,Female,0.001112265
13,6,7,79,Electrotactile,TRUE,0,3.56665,6.9198,1.967651,0.01754527,0.01367815,0.006206369,0.5477295,TRUE,1,FALSE,6.895264,24,Female,0.001451626
13,6,8,80,Electrotactile,TRUE,0,3.488892,7.285156,2.348999,0.01366092,0.0099955,0.003966918,0.4730225,TRUE,1,FALSE,7.240723,24,Female,0.002174316
13,6,9,81,Electrotactile,TRUE,0,3.56665,7.152344,2.185181,0.007838966,0.006518259,0.001919987,0.5537109,TRUE,1,FALSE,7.128784,24,Female,0.000939431
13,6,10,82,Electrotactile,FALSE,0,3.611206,7.797119,2.821533,0.01333221,0.01002213,0.00310575,0.5916748,TRUE,1,FALSE,7.772949,24,Female,0.000710789
13,6,11,83,Electrotactile,FALSE,0,3.588989,6.896729,1.97998,0.01212358,0.009124581,0.002735614,0.5715332,TRUE,1,FALSE,6.873047,24,Female,0.001547904
13,7,0,84,Both,TRUE,0,4.233276,8.407959,2.799561,0.01554222,0.01079517,0.004192916,1.212891,TRUE,1,FALSE,8.383789,24,Female,0.00135657
13,7,1,85,Both,TRUE,0,3.755493,7.507324,2.380859,0.01496939,0.01198239,0.00369779,0.7388916,TRUE,1,FALSE,7.482422,24,Female,0.002049213
13,7,2,86,Both,FALSE,0,3.755615,7.296997,2.117676,0.01716374,0.01291921,0.005830959,0.7423096,TRUE,1,FALSE,7.273071,24,Female,0.002029842
13,7,3,87,Both,FALSE,0,3.93335,8.218506,2.842651,0.01458244,0.01215038,0.004528505,0.9239502,TRUE,1,FALSE,8.195313,24,Female,0.001944544
13,7,4,88,Both,FALSE,0,3.633301,7.696411,2.702271,0.01100201,0.008696819,0.00270693,0.6162109,TRUE,1,FALSE,7.672974,24,Female,0.001030152
13,7,5,89,Both,TRUE,0,3.699951,7.285522,2.239258,0.01344867,0.009728635,0.004319279,0.685791,TRUE,1,FALSE,7.261963,24,Female,0.001165904
13,7,6,90,Both,FALSE,0,3.78894,7.118896,1.931519,0.01205448,0.009402541,0.002461265,0.7780762,TRUE,1,FALSE,7.095703,24,Female,0.001022148
13,7,7,91,Both,TRUE,0,3.755615,7.173828,2.023804,0.01174812,0.01007609,0.002487396,0.7371826,TRUE,1,FALSE,7.150146,24,Female,0.000804416
13,7,8,92,Both,TRUE,0,3.666748,6.775513,1.76001,0.01577469,0.01154842,0.002802427,0.651001,TRUE,1,FALSE,6.751587,24,Female,0.001503765
13,7,9,93,Both,TRUE,0,3.522217,6.897095,1.918457,0.01058631,0.00952353,0.002360024,0.5096436,TRUE,1,FALSE,6.873291,24,Female,0.000545627
13,7,10,94,Both,FALSE,0,3.988892,6.885742,1.421265,0.01378416,0.01119278,0.002467459,0.9683838,TRUE,1,FALSE,6.861084,24,Female,0.000886434
13,7,11,95,Both,FALSE,0,3.711182,7.252197,2.169556,0.01140292,0.00927765,0.002101326,0.6938477,TRUE,1,FALSE,7.22876,24,Female,0.000830942
