ParticipantID,Calibration,Sensation,Pain,ActualValue
1,initial,2.5,5.8,4.5
1,middle,2.9,6.3,4.9
1,final,3.0,6.4,5.1
2,initial,2.8,5.0,4.1
2,middle,3.7,5.5,4.8
2,final,3.6,5.2,4.6
3,initial,1.5,3.4,2.6
3,middle,2.0,5.6,4.1
3,final,1.9,5.8,4.2
4,initial,4.1,7.6,6.2
4,middle,5.3,9.0,7.5
4,final,6.6,9.0,8.0
5,initial,1.8,2.9,2.5
5,middle,2.0,4.8,3.7
5,final,2.1,4.4,3.5
6,initial,1.0,1.8,1.5
6,middle,1.5,3.0,2.4
6,final,2.3,3.6,3.1
7,initial,1.4,2.4,2.0
7,middle,1.8,3.4,2.7
7,final,1.8,3.6,2.9
8,initial,0.6,1.3,1.0
8,middle,1.1,2.3,1.8
8,final,1.0,2.5,1.9
9,initial,0.9,1.5,1.2
9,middle,1.5,2.4,2.0
9,final,1.9,2.4,2.2
10,initial,0.8,2.4,1.8
10,middle,1.6,2.5,2.1
10,final,1.8,2.5,2.2
11,initial,0.8,1.2,1.0
11,middle,1.3,1.8,1.6
11,final,0.7,1.6,1.2
12,initial,3.1,4.5,3.9
12,middle,3.7,7.3,5.9
12,final,5.1,9.0,7.4
13,initial,1.1,1.9,1.6
13,middle,1.5,2.4,2.0
13,final,1.7,2.3,2.0
14,initial,2.2,4.1,3.3
14,middle,3.5,4.6,4.1
14,final,1.7,3.8,3.0
15,initial,1.2,2.0,1.7
15,middle,1.9,3.0,2.6
15,final,1.8,3.1,2.6
16,initial,1.6,3.1,2.5
16,middle,1.5,2.9,2.3
16,final,1.5,2.8,2.3
17,initial,0.7,3.7,2.5
17,middle,1.0,3.5,2.5
17,final,1.6,3.8,2.9
18,initial,1.3,2.5,2.0
18,middle,1.8,3.4,2.8
18,final,1.9,3.2,2.7
19,initial,2.1,4.3,3.4
19,middle,3.2,9.0,6.7
19,final,2.7,5.1,4.1
20,initial,0.2,1.0,0.7
20,middle,1.0,1.6,1.4
20,final,1.3,1.8,1.6
21,initial,0.8,1.5,1.2
21,middle,1.1,1.5,1.3
21,final,0.6,1.8,1.3
22,initial,0.6,1.6,1.2
22,middle,0.9,2.0,1.6
22,final,1.0,2.6,2.0
23,initial,1.3,1.9,1.6
23,middle,1.6,3.1,2.5
23,final,1.7,3.0,2.5
24,initial,2.1,3.9,3.2
24,middle,2.6,6.0,4.6
24,final,2.0,4.5,3.5
