ID,Age,Gender,InterpenetrationFeedback,Part,Block,TrialInBlock,Trial,FullyShaded,NrOfAdjustments,InterpenetrationTime,TrialTime,FirstContactTime,MaxInterpenetration,AverageInterpenetration,AverageOffsetFromSurface,ReleaseReactionTime,Completed,Attempts,Skipped,RespTime,Precision,Sensation,Pain,ActualValue
1,24,Male,Both,Part 1,3,6.5,42.5,1.5,0,3.8166625,7.3078554,2.0785645,-4.187367631458872,-4.545146026766184,0.007552227,0.80308224,1,1,0,7.2823425,-6.3416866412505755,0.9162907318741551,1.7578579175523736,1.5040773967762742
1,24,Male,Electrotactile,Part 1,2,6.5,30.5,1.5,0.1,3.5522339,7.3990418,2.2835998,-3.9899794117759075,-4.400842711970583,0.008431451,0.53781123,1,1,0,7.3735168,-5.8019763984562625,0.9162907318741551,1.7578579175523736,1.5040773967762742
1,24,Male,Both,Part 2,7,6.3,90.3,1.5,0.5,3.4810913,7.5359009,2.3707275,-4.375579700882545,-4.71803411531089,0.009318793,0.51298828,1,1,0,7.5108887,-6.3749382485754955,1.0647107369924282,1.840549633397487,1.589235205116581
1,24,Male,Electrotactile,Part 2,6,6.4,78.4,1.5,0,3.6011351,7.3135008,2.2642334,-4.02045194611297,-4.315181101735652,0.006219348,0.58735351,1,1,0,7.2886109,-6.067043200182928,1.0647107369924282,1.840549633397487,1.589235205116581
2,25,Male,Both,Part 1,2,6.5,30.5,1.5,0,3.6333314,7.4956787,2.5055176,-4.254027798454037,-4.508290511212884,0.004370547,0.61772461,1,1,0,7.4695007,-6.347726433509583,1.0296194171811581,1.6094379124341003,1.410986973710262
2,25,Male,Electrotactile,Part 1,3,6.5,42.5,1.5,0,3.6122314,7.7300781,2.6116272,-4.084099165994111,-4.370650548415936,0.005222191,0.5965332,1,1,0,7.7044434,-6.065418992585989,1.0296194171811581,1.6094379124341003,1.410986973710262
2,25,Male,Both,Part 2,6,6.2,78.2,1.5,0,3.5633239,7.3282166,2.3035401,-4.827469968375443,-5.10346152645395,0.006005524,0.55123291,1,1,0,7.3031371,-7.233485419071448,1.308332819650179,1.7047480922384253,1.5686159179138452
2,25,Male,Electrotactile,Part 2,7,6.5,90.5,1.5,0,3.5333496,7.2068847,2.2220093,-4.369293012455355,-4.646782909718971,0.003661063,0.51876221,1,1,0,7.181421,-6.537818562377637,1.308332819650179,1.7047480922384253,1.5686159179138452
3,23,Male,Both,Part 1,1,6.5,18.5,1.5,0,3.4688873,6.6661194,1.8619874,-5.116726743487737,-5.427935283958655,0.012516261,0.45439453,1,1,0,6.6398742,-7.512891582219369,0.4054651081081644,1.2237754316221157,0.9555114450274363
3,23,Male,Electrotactile,Part 1,0,6.5,6.5,1.5,0,3.5422301,7.0369568,2.1390106,-4.8426615516787175,-5.151370169617409,0.008866955,0.5279419,1,1,0,7.0113677,-6.970695078756012,0.4054651081081644,1.2237754316221157,0.9555114450274363
3,23,Male,Both,Part 2,5,6.4,66.4,1.5,0.2,3.2633303,6.9092894,2.0219604,-5.326146016366838,-5.708431364016353,0.01462857,0.24838258,1,1,0,6.8807374,-7.321756718112588,0.6931471805599453,1.7227665977411035,1.410986973710262
3,23,Male,Electrotactile,Part 2,4,6.3,54.3,1.5,0.1,3.236676,6.4851989,1.6747253,-5.033620747212938,-5.367649224055686,0.011421001,0.22106326,1,1,0,6.460425,-7.509235271016259,0.6931471805599453,1.7227665977411035,1.410986973710262
4,25,Male,Both,Part 1,0,6.3,6.3,1.5,0,3.7933352,7.7698059,2.2289305,-3.7370262932612928,-4.0446922555186555,0.009037349,0.77802125,1,1,0,7.7459228,-5.837043960851599,1.410986973710262,2.028148247292285,1.824549292051046
4,25,Male,Electrotactile,Part 1,1,6.2,18.2,1.5,0,3.7011169,7.1078979,1.8278016,-3.636215811083121,-3.879448802623674,0.011994598,0.68657225,1,1,0,7.0836547,-5.694203400829207,1.410986973710262,2.028148247292285,1.824549292051046
4,25,Male,Both,Part 2,4,6.5,54.5,1.5,0,3.6722169,6.7370118,1.554309,-3.816791919660763,-4.083506111013109,0.008171483,0.65772704,1,1,0,6.7134766,-5.922427036617366,1.667706820558076,2.1972245773362196,2.0149030205422647
4,25,Male,Electrotactile,Part 2,5,6.3,66.3,1.5,0,3.6177733,6.6659057,1.6066528,-3.6322580533285795,-3.9957922438336184,0.009720321,0.60311279,1,1,0,6.6423464,-5.543127706628232,1.667706820558076,2.1972245773362196,2.0149030205422647
5,28,Male,Both,Part 1,3,6.5,42.5,1.5,0,3.7700013,8.1874268,2.7768738,-4.5208386883362035,-4.812013682937786,0.00369787,0.75393068,1,1,0,8.1635559,-6.80541893151478,0.5877866649021191,1.0647107369924282,0.9162907318741551
