Block,TrialInBlock,Trial,InterpenetrationFeedback,FullyShaded,NrOfAdjustments,InterpenetrationTime,TrialTime,FirstContactTime,MaxInterpenetration,AverageInterpenetration,AverageOffsetFromSurface,ReleaseReactionTime,Completed,Attempts,Skipped,RespTime,Age,Gender
0,0,0,Electrotactile,True,0,3.633331,8.349396,3.194489,0.01164726,0.008845444,0.004549966,0.6244507,True,1,False,8.325623,26,Female
0,1,1,Electrotactile,False,0,3.766663,10.18381,4.86554,0.01108857,0.008067904,0.004094222,0.7466736,True,1,False,10.15869,26,Female
0,2,2,Electrotactile,False,0,3.600006,7.807648,2.646851,0.01545151,0.01146312,0.002328801,0.5829773,True,1,False,7.783722,26,Female
0,3,3,Electrotactile,True,0,3.577759,12.76089,7.627716,0.01057065,0.008135185,0.008809224,0.5663147,True,1,False,12.73615,26,Female
0,4,4,Electrotactile,False,0,3.633331,8.084625,3.000793,0.01635273,0.0133319,0.004750069,0.6147461,True,1,False,8.060822,26,Female
0,5,5,Electrotactile,False,0,3.555542,6.775665,1.783478,0.0143065,0.01034454,0.002491406,0.5409546,True,1,False,6.751007,26,Female
0,6,6,Electrotactile,False,0,3.522217,7.263062,2.296448,0.0220053,0.01658546,0.007875637,0.5099487,True,1,False,7.238708,26,Female
0,7,7,Electrotactile,True,0,3.43335,10.80615,5.944702,0.01974706,0.01483116,0.007540436,0.414856,True,1,False,10.78207,26,Female
0,8,8,Electrotactile,True,0,3.544464,7.941956,2.982147,0.01587955,0.0101695,0.005095788,0.5309448,True,1,False,7.917175,26,Female
0,9,9,Electrotactile,False,0,3.5,6.752075,1.8302,0.01590813,0.01107666,0.003393274,0.4880066,True,1,False,6.727966,26,Female
0,10,10,Electrotactile,True,0,3.466644,10.08417,5.100098,0.009154902,0.006334469,0.007454179,0.4482422,True,1,False,10.05936,26,Female
0,11,11,Electrotactile,True,0,3.544464,7.185638,2.205261,0.01425606,0.008654141,0.003378947,0.5296936,True,1,False,7.160645,26,Female
1,0,12,Both,False,0,3.477783,6.208679,1.301086,0.01072079,0.006645506,0.00640246,0.4587402,True,1,False,6.185455,26,Female
