ID,Type,Resemblance
1,Visual,4
2,Visual,3
3,Visual,3
4,Visual,4
5,Visual,3
6,Visual,3
7,Visual,4
8,Visual,1
9,Visual,5
10,Visual,5
11,Visual,3
12,Visual,4
13,Visual,3
14,Visual,2
15,Visual,2
16,Visual,1
17,Visual,5
18,Visual,2
19,Visual,5
20,Visual,1
21,Visual,3
22,Visual,6
23,Visual,2
24,Visual,2
1,Electrotactile,3
2,Electrotactile,5
3,Electrotactile,1
4,Electrotactile,2
5,Electrotactile,1
6,Electrotactile,2
7,Electrotactile,4
8,Electrotactile,1
9,Electrotactile,4
10,Electrotactile,3
11,Electrotactile,1
12,Electrotactile,2
13,Electrotactile,5
14,Electrotactile,4
15,Electrotactile,1
16,Electrotactile,1
17,Electrotactile,3
18,Electrotactile,1
19,Electrotactile,2
20,Electrotactile,1
21,Electrotactile,5
22,Electrotactile,6
23,Electrotactile,3
24,Electrotactile,3
1,Combined,4
2,Combined,4
3,Combined,4
4,Combined,5
5,Combined,2
6,Combined,3
7,Combined,5
8,Combined,1
9,Combined,5
10,Combined,5
11,Combined,2
12,Combined,4
13,Combined,4
14,Combined,4
15,Combined,3
16,Combined,5
17,Combined,5
18,Combined,2
19,Combined,5
20,Combined,1
21,Combined,3
22,Combined,6
23,Combined,3
24,Combined,3
